model,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,cv_r2_std,test_mae,test_rmse,test_r2,test_mape
Extra Trees,468459.4252261462,39144.735057908474,691817.3081660533,0.7872904620591171,0.02873960792931788,484506.5566860897,695407.9342697413,0.7925476564625287,0.14337097570325785
Random Forest,476816.6134362578,28740.398993675317,702069.5625535931,0.7808750087913238,0.022826336641216815,483764.7725328325,700605.3743827718,0.789435093718245,0.14371632783505195
Histogram Gradient Boosting,477935.38991395396,16623.565571374795,683714.6444206928,0.792169126487322,0.013969702224041756,487600.9293141773,687692.5703493769,0.7971253763864129,0.14328266125676928
Ridge Regresyon,523707.2858090084,29394.70827420407,774963.876380677,0.7309418466143505,0.04645082704306601,516775.3911203663,741171.5238385441,0.7643450792799202,0.15359867851648065
Medyan Temel Model,1202168.2502474724,62445.14000044655,1570850.5458524488,-0.09526381067782519,0.028630627339985632,1211275.3272727274,1601992.699044602,-0.10093106743737201,0.3474468933860243
