,Fiyat (TL),Brüt m²,Net m²,Banyo Sayısı,Bina Yaşı Ortalama,Bulunduğu Kat (Dönüştürülmüş),Oda Sayısı Numeric,Kat Sayısı Numeric,Aidat (TL) Numeric
Fiyat (TL),1.0,0.803955179367782,0.7981836816676025,0.6923942978050823,0.2866094865091098,0.27590046975287585,0.7856941652711321,0.2541793937618792,0.28629112789061884
Brüt m²,0.803955179367782,1.0,0.9792842634845801,0.7143420204475425,0.45604870805364456,0.16552927767295034,0.9157508308236797,0.30362592830416346,0.23933653100562846
Net m²,0.7981836816676025,0.9792842634845801,1.0,0.7130365332674807,0.46407171775304346,0.1654540195976862,0.9158652347611573,0.29427561183374407,0.2387963938463784
Banyo Sayısı,0.6923942978050823,0.7143420204475425,0.7130365332674807,1.0,0.13737468594611651,0.10984222845056009,0.7303549913479017,0.24944955437404656,0.12676197655240345
Bina Yaşı Ortalama,0.2866094865091098,0.45604870805364456,0.46407171775304346,0.13737468594611651,1.0,0.11228405930617877,0.47025851270130664,0.18818638060186527,0.3166630836527553
Bulunduğu Kat (Dönüştürülmüş),0.27590046975287585,0.16552927767295034,0.1654540195976862,0.10984222845056009,0.11228405930617877,1.0,0.13679212087239553,0.30919945186288345,0.1323077454384168
Oda Sayısı Numeric,0.7856941652711321,0.9157508308236797,0.9158652347611573,0.7303549913479017,0.47025851270130664,0.13679212087239553,1.0,0.2610999361580265,0.19889280144275573
Kat Sayısı Numeric,0.2541793937618792,0.30362592830416346,0.29427561183374407,0.24944955437404656,0.18818638060186527,0.30919945186288345,0.2610999361580265,1.0,0.14889319102304596
Aidat (TL) Numeric,0.28629112789061884,0.23933653100562846,0.2387963938463784,0.12676197655240345,0.3166630836527553,0.1323077454384168,0.19889280144275573,0.14889319102304596,1.0
