term,coefficient,std_error_hc3,t_value,p_value,ci_95_low,ci_95_high,percent_change_per_unit
const,12.14989923609124,0.5052280330995405,24.04834736020568,1.1412383963931748e-111,11.159033918661464,13.140764553521016,
ln_brut_m2,0.619124114117046,0.03635290045048574,17.030941312655933,1.3122268424885317e-60,0.5478279351948706,0.6904202930392215,
bina_yasi,-0.018460004687336606,0.001629641107502405,-11.327650365686031,8.002129906617646e-29,-0.021656095853093124,-0.015263913521580089,-1.829066242148044
banyo_sayisi,0.09968233214580205,0.017744504186871575,5.617645390145806,2.2242108151303966e-08,0.06488138559916734,0.13448327869243676,10.481989655865847
oda_sayisi,0.02806832037630487,0.01770882963687201,1.5849901406168085,0.1131363987171346,-0.006662660388556757,0.0627993011411665,2.8465947201737487
bulundugu_kat,0.033136814742740744,0.0027232244367605095,12.168227596459,7.569007837888645e-33,0.027795961763128676,0.03847766772235282,3.369195386602349
kat_sayisi,-0.003023893007746012,0.004181022294355481,-0.7232424978523476,0.46962069272803963,-0.011223814056191262,0.005176028040699238,-0.3019325648180282
ilan_gunu,-0.00017680785846890812,0.000534044180300024,-0.3310734673104726,0.7406258106324516,-0.0012241880938610547,0.0008705723769232385,-0.017679222888065817
mahalle_Atakent Mh.,0.14222678057421967,0.022744976905156773,6.253107275829936,4.965277633815826e-10,0.09761878718399383,0.1868347739644455,15.283806017161233
mahalle_Atatepe,0.028467399379202667,0.0361313279616237,0.7878868833561514,0.4308619887736028,-0.042394226271724005,0.09932902503012933,2.8876468276183185
mahalle_Balaç Mh.,0.05057802939303256,0.03155332956165554,1.6029379496766754,0.10911598035153586,-0.011305116164562187,0.11246117495062731,5.187893762790567
mahalle_Büyükkolpınar Mh.,0.02320620465319151,0.06511375010900916,0.35639484155560397,0.7215847988305076,-0.1044964413678279,0.15090885067421092,2.3477563625452986
mahalle_Büyükoyumca Mh.,-0.05818060858862288,0.025956921460390296,-2.2414294652547775,0.025114291616228707,-0.10908794455840282,-0.007273272618842946,-5.652046845861169
mahalle_Cumhuriyet Mah.,0.14721280601083117,0.03840540702056682,3.833127088901725,0.0001306777441324849,0.07189120205114717,0.22253440997051516,15.860049394655826
mahalle_Diğer,0.06495625364298858,0.03198856620917083,2.030608474860815,0.04243492126895578,0.002219511549485978,0.12769299573649118,6.711234108564352
mahalle_Esenevler Mah.,0.10863737030302072,0.03543312199624198,3.065983582099899,0.0022003738008007276,0.039145082911641926,0.1781296576943995,11.475803266948887
mahalle_Güzelyalı Mh.,0.5724608196601235,0.03790370878342806,15.103029176670173,9.786659985707729e-49,0.4981231582975015,0.6467984810227456,77.26237961411965
mahalle_Körfez Mh.,0.045441667892088033,0.022945255898997284,1.9804384876820593,0.0477995340724023,0.00044088254297421775,0.09044245324120184,4.648995886829307
mahalle_Küçükkolpınar Mh.,-0.00358847124693068,0.03206376985285012,-0.111916697986519,0.9109013787562859,-0.0664727045273514,0.059295762033490046,-0.3582040378614096
mahalle_Mevlana Mah.,0.09235322604699336,0.029731913231871535,3.10619855933099,0.0019233410147323682,0.034042285813618275,0.15066416628036844,9.6752155097011
mahalle_Mimarsinan Mah.,0.20782221549506247,0.040983170669459314,5.070915990644221,4.347643286123135e-07,0.12744503973634577,0.28819939125377914,23.099429838157445
mahalle_Yenimahalle Mah.,0.1314798943583003,0.02188689548602984,6.007242755932308,2.259228143800511e-09,0.08855479079611432,0.17440499792048625,14.051497670637584
mahalle_Çakırlar Yalı Mh.,-0.008830196992626972,0.047334356649609055,-0.18654942451192907,0.8520340084794968,-0.10166347079022017,0.08400307680496621,-0.8791325302199883
mahalle_İncesu Mh.,0.029248055956980074,0.04282171815485141,0.6830192065440622,0.49467868563727585,-0.0547349231585821,0.11323103507254224,2.967998105182348
mahalle_İncesu Yalı Mh.,0.0013117510876511085,0.030281906179720975,0.04331798268794436,0.965452646908563,-0.0580778484859661,0.06070135066126832,0.1312611809418847
mahalle_İstiklal Mh.,0.06853886561523181,0.028905779508488563,2.371112863263365,0.017834688069714576,0.01184815862393819,0.12522957260652545,7.094224697144772
site_Hayır,-0.06532052581734528,0.020863744409552434,-3.1308150893297166,0.001769970278443253,-0.10623900098650092,-0.024402050648189635,-6.323284280668968
asansor_Var,0.03415305347408119,0.4449670646149141,0.07675411550658949,0.9388273032613766,-0.8385270094680828,0.9068331164162451,3.47429656147883
asansor_Yok,-0.04845455475782193,0.44606935010298693,-0.10862560888040146,0.9135110153593781,-0.9232964463961032,0.8263873368804594,-4.729936596690539
otopark_Açık Otopark,-0.06600265353151452,0.019843846385236848,-3.3261018176707045,0.000897617469508348,-0.10492088027144186,-0.027084426791587186,-6.3871619757835525
otopark_Diğer,0.021911002238757443,0.24510335467461888,0.0893949504193644,0.9287775381615914,-0.4587915665455047,0.5026135710230195,2.215281111044898
otopark_Kapalı Otopark,-0.02578415706973977,0.03779505529931634,-0.6822097987565631,0.49519016266312854,-0.09990872461734977,0.04834041047787023,-2.545458435257647
otopark_Yok,-0.04850590197168775,0.04528945509743783,-1.0710197741909218,0.2842977212691274,-0.13732866587501785,0.04031686193164237,-4.734828323421776
isitma_Kombi (Doğalgaz),-0.09400439233374411,0.1301773632931025,-0.7221254906053621,0.47030694529678074,-0.34931135463798735,0.1613025699704991,-8.972123601614548
isitma_Merkezi (Pay Ölçer),0.06360692863760839,0.14976970972871917,0.42469821670096625,0.6711051789934026,-0.23012501268258864,0.3573388699578054,6.567343071745305
isitma_Yerden Isıtma,-0.055893155639057376,0.13072302852101772,-0.42756931407897153,0.6690135751095106,-0.31227028965556997,0.20048397837745519,-5.435983318768725
kimden_Emlak Ofisinden,-0.08122889496970584,0.06493983631213995,-1.250833072311283,0.21115069929180327,-0.2085904570875162,0.04613266714810452,-7.801736989609695
kimden_Sahibinden,0.006031886578265477,0.06624928644577766,0.09104832522539441,0.9274638714410793,-0.12389780049960575,0.1359615736561367,0.6050115038349788
