mae,rmse,r2,mape,protocol,train_rows,test_rows,cutoff_date
484506.55668609025,695407.9342697418,0.7925476564625284,0.14337097570325802,Tekil ilanlar: kilitli rastgele test,1537,385,-
502891.77656026557,723252.523643929,0.764272365893332,0.13948551831678824,Kronolojik sağlamlık kontrolü,1503,419,2025-05-09
396730.92854571,630779.0997932475,0.8287586697557302,0.11784185404892228,Satır bazlı rastgele bölme (sızıntı riski),1817,455,-
524420.4520980769,809833.3096868845,0.6931370039370061,0.15100874324450922,İlan kimliği gruplu bölme,1832,440,-
