,Fiyat (TL),Brüt m²,Net m²,Banyo Sayısı,Bina Yaşı Ortalama,Bulunduğu Kat (Dönüştürülmüş),Oda Sayısı Numeric,Kat Sayısı Numeric,Aidat (TL) Numeric
Fiyat (TL),0.0,0.0,0.0,1.801906472019599e-274,1.157628375876134e-37,6.415647447424637e-35,0.0,1.0142807367145047e-29,7.041472064494906e-16
Brüt m²,0.0,0.0,0.0,5.65180718889971e-300,2.4369391459461985e-99,2.8222595347043594e-13,0.0,2.8278455330197328e-42,2.052966252647267e-11
Net m²,0.0,0.0,0.0,2.169745993669006e-298,2.9860354133999025e-103,2.8937778251699524e-13,0.0,1.0581446418382668e-39,2.2837339286734573e-11
Banyo Sayısı,1.801906472019599e-274,5.65180718889971e-300,2.169745993669006e-298,0.0,1.4723442169750974e-09,1.3858372189028658e-06,0.0,1.1873482629955553e-28,0.0004443947967217079
Bina Yaşı Ortalama,1.157628375876134e-37,2.4369391459461985e-99,2.9860354133999025e-103,1.4723442169750974e-09,0.0,8.014523562338792e-07,2.4349250617029114e-106,8.85036169807009e-17,2.9580076752144336e-19
Bulunduğu Kat (Dönüştürülmüş),6.415647447424637e-35,2.8222595347043594e-13,2.8937778251699524e-13,1.3858372189028658e-06,8.014523562338792e-07,0.0,1.7283458661596996e-09,7.447852732690126e-44,0.00024521684787333353
Oda Sayısı Numeric,0.0,0.0,0.0,0.0,2.4349250617029114e-106,1.7283458661596996e-09,0.0,2.524585518646811e-31,2.9566390854129072e-08
Kat Sayısı Numeric,1.0142807367145047e-29,2.8278455330197328e-42,1.0581446418382668e-39,1.1873482629955553e-28,8.85036169807009e-17,7.447852732690126e-44,2.524585518646811e-31,0.0,3.599285303942341e-05
Aidat (TL) Numeric,7.041472064494906e-16,2.052966252647267e-11,2.2837339286734573e-11,0.0004443947967217079,2.9580076752144336e-19,0.00024521684787333353,2.9566390854129072e-08,3.599285303942341e-05,0.0
